Week,Beef bought,Beef thrown,Beef deficit,Beef Y,Chicken bought,Chicken thrown,Chicken deficit,Chicken Y,Pork bought,Pork thrown,Pork deficit,Pork Y,Turkey bought,Turkey thrown,Turkey deficit,Turkey Y,Other meat bought,Other meat thrown,Other meat deficit,Other meat Y,Eggs bought,Eggs thrown,Eggs deficit,Eggs Y,Root vegetables bought,Root vegetables thrown,Root vegetables deficit,Root vegetables Y,Gourds bought,Gourds thrown,Gourds deficit,Gourds Y,Leafy vegetables bought,Leafy vegetables thrown,Leafy vegetables deficit,Leafy vegetables Y,Bulky vegetables bought,Bulky vegetables thrown,Bulky vegetables deficit,Bulky vegetables Y,Other vegetables bought,Other vegetables thrown,Other vegetables deficit,Other vegetables Y,Breads bought,Breads thrown,Breads deficit,Breads Y,Grains bought,Grains thrown,Grains deficit,Grains Y,Dairy bought,Dairy thrown,Dairy deficit,Dairy Y,Number of sales,Season
1,90,2.5,0,87.5,65,0,2,67,80,0,2,82,55,0,0,55,11,0,0,11,9,0,0,8,120,0,10,130,20,0,3,21,15,3,0,8,25,0,0,25,10,0,2,13,115,0,1,120,300,4,0,294,40,0,0,37,400,Winter
2,90,5,0,85,65,7,0,58,80,4,0,76,55,6,0,49,11,4,0,7,9,1,0,7,0,0,0,0,0,0,0,0,7,0,1,12,25,0,0,22,14,1,0,12,120,0,0,114,0,0,0,0,40,3,0,38,390,Winter
3,70,4,0,66,45,0,0,45,60,3,0,57,35,0,1,36,8,3,0,5,7,0,0,6,0,0,0,0,20,0,1,20,13,1,0,4,25,3,0,24,12,0,0,15,113,0,1,102,0,0,0,0,35,0,3,46,347,Winter
4,55,0,7,62,30,3,0,27,45,0,6,51,20,3,0,17,5,0,0,5,6,0,0,8,130,0,0,130,0,0,0,0,3,0,1,14,20,0,4,25,10,0,5,20,96,0,6,105,0,0,0,0,45,0,1,40,403,Winter
5,120,1.5,0,118.5,95,0,3,98,110,1,0,109,85,0,3,88,16,1,0,15,9,1,0,9,0,0,0,0,20,0,0,18,12,0,2,13,25,0,0,25,19,0,1,16,105,0,0,115,300,6,0,0,40,0,0,40,468,Winter
6,115,4.5,0,110.5,90,3,0,87,105,0,1,106,80,2,0,78,15,0,0,15,9,0,0,6,0,0,0,0,0,0,0,0,14,1,0,16,25,0,0,23,18,2,0,13,117,2,0,102,0,0,0,0,40,0,0,44,417,Winter
7,80,5,0,75,55,4,0,51,70,4,0,66,45,4,0,41,9,0,0,9,7,1,0,6,125,0,5,125,20,2,0,15,21,5,0,21,25,2,0,23,13,0,0,12,98,0,4,106,0,0,0,0,40,0,4,48,380,Winter
8,70,2,0,68,45,5,0,40,60,2,0,58,35,9,0,26,8,2,0,6,7,1,0,8,0,0,0,0,0,0,0,0,22,1,0,19,25,2,0,19,12,0,0,10,104,0,2,102,0,0,0,0,50,2,0,44,373,Winter
9,65,9,0,56,40,2,0,38,55,8,0,47,30,2,0,28,7,2,0,5,8,0,0,7,0,0,0,0,20,5,0,15,14,0,5,15,25,6,0,20,11,1,0,16,101,0,1,103,250,0,1,0,50,6,0,40,407,Spring
10,60,0,9,69,35,0,4,39,50,0,8,58,25,1,4,29,6,0,8,14,6,0,1,9,125,0,0,118,0,0,0,0,12,0,3,14,20,0,0,22,11,0,5,19,99,0,4,118,0,0,0,0,40,0,0,33,424,Spring
11,120,6.5,0,113.5,95,5,0,90,110,6,0,104,85,5,0,80,16,6,0,10,9,0,0,8,0,0,0,0,15,0,0,15,12,0,2,13,20,0,2,20,19,0,0,15,123,5,0,105,0,0,0,0,30,0,3,35,454,Spring
12,105,4.5,0,100.5,80,4,0,76,95,4,0,91,70,4,0,66,13,4,0,9,8,0,0,7,0,0,0,0,0,0,0,0,14,1,0,12,20,0,0,22,17,2,0,16,105,0,0,114,0,0,0,0,35,0,0,40,432,Spring
13,95,0.5,0,94.5,70,8,0,62,85,0,0,85,60,6,0,54,12,0,0,12,8,1,0,7,120,2,0,122,15,0,0,15,7,0,5,19,20,0,2,20,16,0,0,16,116,2,0,121,250,0,2,250,40,0,0,39,428,Spring
14,95,9.5,0,85.5,70,0,3,73,85,8,0,77,60,0,3,63,12,1,0,11,7,0,0,5,0,0,0,0,0,0,0,0,18,0,1,13,20,0,0,20,16,0,0,12,127,6,0,114,0,0,0,0,40,1,0,40,392,Spring
15,60,0,1,61,35,0,1,36,50,0,1,51,25,0,1,25,6,0,0,6,5,0,0,7,0,0,0,0,15,0,0,12,21,8,0,9,20,0,0,17,11,0,1,9,117,3,0,100,0,0,0,0,40,0,0,38,361,Spring
16,60,7,0,53,35,6,0,29,50,6,0,44,25,6,0,19,6,0,0,6,6,0,1,5,120,0,2,90,0,0,0,0,9,0,0,9,20,3,0,20,11,2,0,10,99,0,1,94,0,0,0,0,40,2,0,37,332,Spring
17,55,0,8,63,30,0,7,37,45,0,7,52,20,0,7,27,5,0,0,5,5,0,0,7,0,0,0,0,15,3,0,15,9,0,0,3,20,0,0,21,10,0,0,12,94,0,0,122,250,0,0,290,40,3,0,36,358,Spring
18,65,1.5,0,63.5,40,1,0,39,55,1,0,54,30,1,0,29,7,1,0,6,8,1,0,9,0,0,0,0,0,0,0,0,7,0,4,10,20,0,1,20,11,0,1,13,126,4,0,109,0,0,0,0,35,0,1,40,364,Spring
19,80,2,0,78,55,2,0,53,70,0,5,75,45,6,0,39,9,0,0,9,9,0,0,9,100,10,0,90,15,0,0,11,15,5,0,18,20,0,0,17,13,0,0,13,111,2,0,115,0,0,0,0,40,0,0,40,393,Spring
20,80,5,0,75,55,4,0,51,70,4,0,66,45,4,0,41,9,4,0,5,9,0,0,7,0,0,0,0,0,0,0,0,12,0,6,21,20,3,0,16,13,0,0,18,118,3,0,112,0,0,0,0,40,0,0,39,374,Spring
21,75,0,7,82,50,0,6,56,65,0,6,71,40,0,4,44,8,0,2,10,8,1,0,5,0,0,0,0,15,4,0,10,21,0,0,17,20,4,0,16,13,0,5,16,113,1,0,123,300,10,0,292,40,1,0,42,413,Summer
22,100,3,0,97,75,3,0,72,90,3,0,87,65,3,0,62,13,3,0,10,7,2,0,9,90,0,0,92,0,0,0,0,17,0,0,12,15,0,1,16,16,0,0,16,124,1,0,101,0,0,0,0,40,0,2,45,425,Summer
23,100,1,0,99,75,1,0,74,90,1,0,89,65,1,0,64,13,1,0,12,9,0,0,10,0,0,0,0,10,0,0,10,19,7,0,9,15,0,1,17,16,0,0,14,97,0,4,98,0,0,0,0,45,0,0,50,459,Summer
24,100,2,0,98,75,2,0,73,90,2,0,88,65,2,0,63,13,2,0,11,9,0,1,7,0,0,0,0,0,0,0,0,9,0,0,11,15,0,2,19,16,2,0,16,95,0,3,103,0,0,0,0,50,0,0,51,437,Summer
25,95,0,3,98,70,0,3,73,85,0,3,88,60,0,3,63,12,0,1,13,9,2,0,8,90,0,2,85,10,0,0,10,11,0,0,19,15,0,4,20,16,0,0,20,99,0,4,101,300,8,0,285,55,4,0,52,449,Summer
26,110,4.5,0,105.5,85,4,0,81,100,4,0,96,75,4,0,71,14,4,0,10,8,0,0,7,0,0,0,0,0,0,0,0,14,0,5,21,20,0,0,20,18,0,2,14,100,0,1,102,0,0,0,0,55,3,0,50,433,Summer
27,105,0,14,119,80,0,7,87,95,0,12,107,70,0,5,75,13,0,0,13,7,0,0,7,0,0,0,0,10,0,0,10,21,0,0,18,20,0,0,20,17,3,0,18,101,0,1,106,0,0,0,0,50,0,0,48,472,Summer
28,110,5.5,0,104.5,85,5,0,80,100,5,0,95,75,6,0,69,14,5,0,9,9,2,0,8,80,0,5,85,0,0,0,0,22,4,0,13,20,0,0,20,18,0,0,17,105,0,1,114,0,0,0,0,50,2,0,50,427,Summer
29,105,2,0,103,80,2,0,78,95,0,3,98,70,1,0,69,13,0,0,13,8,0,0,8,0,0,0,0,10,0,0,10,13,0,0,11,20,0,0,18,17,0,0,16,114,0,0,101,300,15,0,280,50,0,0,47,418,Summer
30,105,1,0,104,80,1,0,79,95,1,0,94,70,1,0,69,13,1,0,12,7,0,1,7,0,0,0,0,0,0,0,0,11,0,0,15,20,2,0,18,17,1,0,16,98,0,3,99,0,0,0,0,50,3,0,41,420,Summer
31,100,2,0,98,75,2,0,73,90,2,0,88,65,2,0,63,13,2,0,11,7,0,0,8,85,0,0,80,10,0,0,10,15,0,0,17,20,2,0,17,16,0,0,16,99,0,0,102,0,0,0,0,40,0,1,30,416,Summer
32,100,2,0,98,75,2,0,73,90,2,0,88,65,2,0,63,13,2,0,11,8,0,0,6,0,0,0,0,0,0,0,13,16,0,1,19,15,0,2,21,16,0,0,17,100,0,2,109,0,0,0,0,30,0,0,31,414,Summer
33,105,0,3,108,80,0,3,83,95,0,3,98,70,0,3,73,13,0,0,13,8,2,0,5,0,0,0,0,10,0,0,0,19,0,0,10,15,0,6,23,17,0,0,16,105,0,4,117,300,20,0,250,30,0,1,33,420,Summer
34,95,0,1,96,70,0,1,71,85,0,1,86,60,0,1,61,12,0,0,12,8,3,0,9,85,0,5,90,10,0,3,15,20,10,0,15,20,0,3,25,16,0,0,13,117,0,0,116,0,0,0,0,30,0,3,30,405,Summer
35,95,8.5,0,86.5,70,5,0,65,85,7,0,78,60,5,0,55,12,2,0,10,9,0,0,6,0,0,0,0,0,0,0,0,9,0,6,23,25,0,0,24,16,3,0,13,118,2,0,112,0,0,0,0,25,0,5,35,390,Fall
36,65,0,0,65,40,0,0,40,55,0,0,55,30,0,3,33,7,0,3,10,6,0,0,8,0,0,0,0,15,0,0,15,18,0,5,32,25,1,0,24,11,0,2,11,113,1,0,106,0,0,0,0,35,0,0,31,392,Fall
37,65,0,0,65,40,0,0,40,55,0,0,55,30,0,0,30,7,0,0,7,6,0,2,8,90,0,0,78,0,0,0,0,25,0,7,13,25,1,0,23,11,0,0,12,106,0,0,104,250,0,0,0,30,0,1,30,385,Fall
38,70,2,0,68,45,2,0,43,60,2,0,58,35,2,0,33,8,2,0,6,8,0,0,5,0,0,0,0,15,0,0,19,13,0,0,21,25,2,0,25,12,0,0,11,104,0,0,99,0,0,0,0,30,0,0,32,386,Fall
39,60,0,10,70,35,0,8,43,50,0,9,59,25,0,7,32,6,0,0,6,6,1,0,8,0,0,0,0,0,0,0,0,17,0,4,14,25,0,0,24,11,0,0,11,98,0,1,96,0,0,0,0,30,0,2,40,394,Fall
40,65,0,0,65,40,0,0,40,55,0,0,55,30,0,0,30,7,0,0,7,7,0,1,8,80,2,0,95,15,0,4,20,23,9,0,9,25,1,0,29,11,0,0,12,95,0,1,111,0,0,0,0,40,0,0,39,390,Fall
41,70,3,0,67,45,3,0,42,60,3,0,57,35,3,0,32,8,3,0,5,8,0,0,6,0,0,0,0,0,0,0,0,9,0,0,16,25,0,4,30,12,0,0,12,114,3,0,106,250,0,10,300,40,1,0,45,392,Fall
42,65,0,7,72,40,0,6,46,55,0,6,61,30,0,6,36,7,0,0,7,7,1,0,10,0,0,0,0,20,0,0,20,16,0,0,17,30,0,0,24,11,0,1,12,106,0,0,109,0,0,0,0,45,0,0,37,404,Fall
43,75,0,0,75,50,0,0,50,65,0,0,65,40,0,2,42,8,0,0,8,8,0,2,7,85,0,10,100,0,0,0,0,17,0,0,18,30,6,0,25,13,1,0,12,109,0,0,108,0,0,0,0,35,0,2,42,390,Fall
44,70,1,0,69,45,0,2,47,60,1,0,59,35,0,0,35,8,1,0,7,8,1,0,8,0,0,0,0,20,0,0,23,18,0,0,15,25,0,0,25,12,0,0,12,108,0,0,114,0,0,0,0,45,3,0,40,385,Winter
45,70,0,0,70,45,2,0,43,60,0,4,64,35,2,0,33,8,0,1,9,8,0,0,8,0,0,0,0,0,0,0,0,15,0,0,20,25,0,0,26,12,0,0,13,117,3,0,112,300,0,0,300,40,0,0,40,380,Winter
46,90,0,2,92,65,0,2,67,80,0,2,82,55,0,2,57,11,0,0,11,8,0,0,8,95,0,5,100,20,0,3,17,18,0,2,21,25,0,1,25,15,2,0,13,113,1,0,97,0,0,0,0,40,0,0,44,412,Winter
47,100,5,0,95,75,4,0,71,90,4,0,86,65,5,0,60,13,2,0,11,8,0,0,8,0,0,0,0,0,0,0,0,21,0,0,23,25,0,0,23,16,3,0,10,95,0,2,100,0,0,0,0,40,0,4,49,403,Winter
48,110,2,0,108,85,7,0,78,100,0,0,100,75,7,0,68,14,0,0,14,9,1,0,9,0,0,0,0,25,8,0,20,23,0,0,21,25,2,0,26,10,0,0,10,99,0,1,97,0,0,0,0,50,1,0,48,424,Winter
49,115,3,0,112,90,3,0,87,105,3,0,102,80,0,0,80,15,3,0,12,9,0,0,8,95,0,5,100,0,0,0,0,24,3,0,19,25,0,1,25,10,0,0,12,91,0,6,109,300,0,0,0,50,2,0,55,432,Winter
50,115,0,3,118,90,0,3,93,105,0,3,108,80,0,3,83,15,0,0,15,8,0,0,9,0,0,0,0,20,0,0,20,19,0,0,20,25,0,0,26,12,0,0,13,109,0,0,115,0,0,0,0,55,0,0,49,443,Winter
51,115,0,0,115,90,4,0,86,105,2,0,103,80,4,0,76,15,2,0,13,8,0,1,10,0,0,0,0,0,0,0,0,20,0,0,21,25,0,1,25,12,0,1,14,115,0,0,123,0,0,0,0,50,1,0,47,437,Winter
52,120,0,8,128,95,0,7,102,110,0,7,117,85,0,2,87,16,0,0,16,9,0,1,9,100,0,0,130,20,0,0,23,21,0,0,12,25,0,0,25,14,0,0,12,128,5,0,116,0,0,0,296,50,3,0,40,459,Winter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
